id,date,amount
INC1960,2018-06-30,300
INC346,2018-10-14,100
5kxHYKMQvoDw,2019-06-06,25
INC1260,2018-06-24,100
INC1570,2018-05-29,100
hIt5cN3yggnJ,2018-08-27,100
INC1671,2018-11-05,250
INC2519,2018-09-25,100
EXP619,2018-01-24,-100
INC328,2018-08-15,100
INC52,2018-06-23,500
5VOkFlRsheSH,2018-06-22,100
INC40,2019-04-09,100
INC43,2018-04-04,250
INC3296,2018-10-29,30
INC802,2018-06-30,100
IDT166,2018-09-27,250
INC2326,2019-06-21,500
INC1520,2018-10-18,500
hIliQ65hdCrq,2018-10-09,500
7dVidW93cIyX,2018-10-24,50
INC745,2018-06-29,500
INC880,2018-06-04,25
INC577,2018-01-26,500
INC518,2018-06-13,250
INC682,2018-07-09,100
INC213,2019-06-25,150
INC4106,2018-12-13,250
INC1247,2018-04-28,250
INC2433,2018-09-18,500
INC1381,2018-10-08,100
INC1001,2018-05-31,100
INC1344,2018-09-28,25
INC10,2018-03-01,500
INC811,2018-03-12,500
FeFAbA8dmWb5,2019-06-25,300
INC2081,2018-07-16,100
INC624,2018-02-15,500
INC178,2018-06-26,500
A3JM1X42vK2N,2019-05-20,250
INC2036,2018-10-23,50
GUybRp7i3ryb,2019-06-01,50
INC755,2018-10-24,500
INC182,2019-06-25,500
ddzmLiS8H8L8,2018-06-27,500
vY1JMPeuHZvb,2018-09-10,100
qpw8uk1TIe47,2018-12-31,250
INC155,2018-06-19,100
INC281,2018-07-25,100
95F4GWnVJO4k,2019-05-11,500
IDT192,2018-10-02,500
INC2536,2018-09-27,100
INC85,2018-04-22,500
INC4,2018-02-08,500
INC1988,2018-10-19,50
INC7,2018-06-16,500
INC1995,2018-10-20,100
INC1712,2018-06-15,100
INC1382,2018-07-12,500
INC563,2018-06-25,500
INC1588,2018-10-24,250
INC3146,2018-10-24,100
INC801,2018-05-04,25
INC514,2018-03-26,500
INC3290,2018-10-29,50
INC361,2018-05-01,500
INC406,2018-12-27,500
PhtVkmXcgw6g,2019-06-21,100
INC1016,2018-07-11,20
INC8,2019-03-16,500
INC1046,2018-04-16,250
mauBB2Q1Syb1,2018-08-29,100
INC553,2018-01-17,100
4UjHiai23n6C,2018-10-03,250
INC1206,2018-06-06,250
INC6,2018-06-15,500
INC1077,2018-08-07,200
INC86,2018-04-26,500
INC204,2018-07-23,500
INC836,2018-08-07,150
3lVl3xNd8JkG,2018-08-04,500
INC3694,2018-11-11,25
VN925GSW5B8,2018-02-22,500
x2MiauEvvEIG,2018-10-25,150
tx2KZVeI6IgE,2018-03-24,100
INC4398,2019-06-30,150
INC74,2019-06-14,500
INC1674,2018-02-01,250
IDT28,2018-08-17,100
INC993,2018-09-15,500
INC1536,2018-05-25,250
INC399,2018-05-07,500
N8crUFhbtfMX,2018-12-31,500
INC1096,2018-09-15,500
INC557,2018-09-28,500
INC1365,2018-07-23,500
A-84273,2018-08-17,500
INC647,2018-07-06,100
INC1110,2018-09-21,500
kxQFecxvCtn7,2018-09-14,200
VN925GSKE74,2018-02-20,43
INC914,2018-02-28,500
INC103,2018-06-29,100
INC1281,2018-07-24,500
hOIgVfzehf4y,2019-05-22,100
ctHJm79THJa6,2018-08-18,100
INC64,2018-06-26,100
INC1156,2018-10-18,250
INC1362,2018-05-15,250
INC606,2018-07-05,500
INC1246,2018-06-21,100
INC370,2018-10-26,500
INC281,2018-01-08,200
INC709,2018-07-10,100
INC995,2018-03-22,500
8JMOMprHkLdQ,2018-06-29,50
VN925GVR374,2018-03-09,25
INC838,2018-05-19,100
INC1989,2018-10-21,18
INC3612,2018-11-05,50
INC1517,2018-10-30,200
INC575,2018-01-27,100
INC1378,2018-07-12,250
INC16,2019-03-15,500
INC1142,2018-05-15,100
INC2150,2018-08-06,500
INC1376,2018-07-10,500
VN925GSD5Z7,2018-02-19,100
INC1639,2018-06-10,100
INC1466,2018-01-09,100
INC1474,2018-10-14,250
INC1452,2018-10-18,100
INC1065,2018-08-01,500
INC2943,2018-10-17,100
INC354,2018-08-11,100
IDT18,2018-08-15,100
EXP2140,2018-11-12,-50
OFWfHsJP6bWg,2018-09-07,500
eMwO32ETSqgM,2018-09-17,100
HLtb53Wmgdbn,2018-08-25,400
INC2985,2018-10-19,100
uM78ukxKb3ok,2018-10-29,50
INC3124,2018-06-15,300
INC1205,2018-06-27,100
INC1383,2018-08-02,100
INC327,2018-08-09,500
INC788,2018-03-10,150
didVz5cZDUSD,2018-08-06,500
INC333,2018-08-14,100
INC407,2018-01-31,500
LQjgLhNk7GMm,2018-09-04,100
INC971,2018-02-04,150
INC1486,2018-10-24,100
INC219,2019-06-25,100
INC837,2018-05-25,100
IDT282,2018-10-31,100
kfwjRdMJETiu,2019-06-17,100
INC2942,2018-10-17,50
INC314,2018-07-03,500
INC1130,2018-04-20,100
INC688,2018-07-11,100
z83kuqUCxJxl,2019-05-09,500
A-84252,2018-08-17,100
INC1139,2018-02-26,400
INC705,2018-07-10,100
IDT259,2018-10-21,250
INC1271,2018-10-02,100
IDT284,2018-10-31,25
INC27,2018-02-01,500
INC110,2018-03-01,500
INC842,2018-05-23,100
IDT114,2018-09-14,100
INC1120,2018-04-20,100
INC3835,2018-11-02,500
INC1320,2018-10-04,500
om44hnvHthCd,2018-10-10,200
INC1499,2018-10-25,50
INC3278,2018-10-29,100
IDT90,2018-09-09,250
Uz6ubTpc8oif,2018-08-29,200
INC1280,2018-06-20,100
INC1041,2018-04-14,100
INC1052,2018-04-17,250
SqhNUFhAIdPl,2018-09-10,200
INC555,2018-10-03,500
INC1506,2018-10-14,500
INC1755,2018-12-06,500
INC805,2018-03-11,100
INC376,2018-08-22,500
bugazMMZnmfE,2018-12-28,250
INC109,2018-03-01,500
INC1818,2018-06-27,250
A-84141,2018-06-14,500
IDT115,2018-09-14,250
INC3126,2018-06-18,100
FGElTjteH81J,2018-10-21,250
INC546,2018-01-09,100
INC824,2018-03-31,500
lANpA2QAxJ47,2018-12-17,250
INC1229,2018-09-19,500
EXP3659,2018-11-08,-300
INC989,2018-01-26,250
INC1656,2018-10-02,75000
A-84455,2018-10-29,200
INC1238,2018-09-25,500
INC173,2018-09-17,100
INC353,2018-12-06,500
INC2689,2018-10-05,500
INC809,2018-10-15,500
INC795,2018-11-02,100
INC601,2018-07-05,500
INC1260,2018-10-24,200
ZTVHk1jQqJlr,2018-10-22,100
INC2734,2018-10-03,100
7ja6o5TBtVR8,2019-06-06,100
INC571,2018-10-06,300
oVCSwMPmZdE7,2019-05-17,100
pcAJpyKkoTDa,2018-08-20,100
INC1618,2018-05-31,500
INC1775,2018-06-26,500
INC1003,2018-09-15,250
INC461,2018-09-13,500
INC108,2018-03-01,250
INC1017,2018-07-11,40
INC2865,2018-10-13,100
INC37,2018-03-28,500
INC2366,2018-08-29,100
INC665,2018-06-30,100
bjrodW11KHri,2018-09-21,100
INC314,2018-01-01,500
bWAk37k9CzOD,2018-10-17,100
INC170,2018-09-17,100
Ko1M8HElWaDS,2019-06-27,100
INC1483,2018-10-25,500
INC1479,2018-05-07,500
su5Rmkfauxgs,2019-05-03,250
i9s79hBHeHJ9,2019-04-26,500
INC188,2018-03-13,100
EXP2281,2018-08-15,-75
VN925JC0HA2,2018-09-13,500
INC274,2018-08-10,500
INC1677,2018-10-23,500
INC952,2018-05-20,100
INC1557,2018-05-26,140
Hk6qx2DjhlmH,2018-12-30,250
INC744,2018-03-06,75
gCp8FnTUFm8b,2018-12-29,500
INC1583,2018-10-24,150
INC931,2018-03-11,500
INC1423,2018-10-12,100
INC785,2018-03-06,100
INC1088,2018-10-10,150
INC266,2018-11-16,100
INC576,2018-06-25,250
INC166,2018-09-17,150
KBUHAa7lRcg6,2018-11-23,100
INC1485,2018-05-15,100
INC440,2018-09-07,250
QHFAikLAOtp6,2019-06-30,100
INC884,2018-08-26,50
INC665,2018-10-18,100
EXP1033,2018-06-30,-500
INC1392,2018-04-23,36
INC516,2018-09-29,100
INC214,2018-11-13,-500
INC154,2018-08-30,100
INC17,2019-03-15,250
INC1572,2018-09-27,150
INC681,2018-10-13,500
INC578,2018-01-30,100
INC2092,2018-07-19,500
A-84153,2018-06-30,200
INC1198,2018-03-14,200
IDT289,2018-11-01,400
INC1851,2019-06-13,100
Tf2nOGvmoKZ7,2019-04-16,200
19RNW5B4e2mt,2018-10-20,100
j3AebLi2AM7W,2019-06-17,250
MecZt9FM9O5F,2018-09-17,50
INC48,2018-09-11,100
INC1246,2018-03-26,200
INC1558,2018-05-25,100
INC732,2018-06-27,100
INC519,2018-09-20,100
INC1085,2018-09-15,500
EXP356,2018-08-20,-500
2b3CCpzcasbP,2018-06-28,200
INC3452,2018-11-01,100
INC540,2018-06-20,250
MF8HEYsZK3w8,2019-06-21,50
INC62,2018-06-26,500
INC1918,2018-06-30,100
INC1525,2018-09-02,500
INC2737,2018-10-03,500
INC80,2018-09-28,500
INC727,2018-07-09,100
sAOyDdYvxHgz,2018-08-19,100
MazwIgB5hfwI,2018-06-27,500
vvpiiggG1Isx,2018-06-24,250
INC3443,2018-11-01,500
INC324,2018-04-04,100
1vcUhphBM2kp,2018-08-24,100
INC111,2019-06-25,150
EXP293,2018-08-13,-100
INC112,2019-06-25,500
A-84414,2018-10-10,500
INC593,2018-02-11,500
crfr4OWrtoRf,2019-06-30,100
INC1867,2018-06-29,100
INC315,2018-07-31,500
INC1868,2018-06-29,250
INC1780,2018-06-26,120
INC576,2018-04-24,100
HrRGw5ZDSiCd,2018-09-10,100
INC1226,2018-09-26,500
pM6BuJDH5U8P,2018-11-11,250
INC678,2018-01-08,250
INC939,2018-03-01,350
INC9,2018-08-22,500
INC1803,2018-10-23,250
INC1681,2018-11-05,100
INC1495,2018-10-14,500
INC1395,2018-10-17,500
INC26,2018-02-26,100
3eCSJfF2FvSa,2018-07-12,100
INC1262,2018-09-21,250
INC972,2018-02-03,100
INC1545,2018-05-26,500
gP5aUi2mbdgV,2019-06-06,500
LAAVl6IEVlPM,2018-08-16,100
VN925HA2BC9,2018-05-24,100
INC264,2018-11-16,200
YuFmUTIsG1jX,2019-06-13,500
INC1712,2018-05-26,500
oPm1rcdAiKIh,2019-05-15,500
INC1812,2018-06-26,400
INC491,2018-09-24,500
INC236,2018-08-02,100
Abx5JglYgzhk,2018-10-22,500
INC1239,2018-09-25,250
INC1181,2018-06-28,50
26AkxQOs4mhH,2018-09-05,250
INC1846,2019-06-13,100
INC282,2018-01-07,100
INC616,2018-07-05,250
INC1822,2018-06-27,100
VTFzT47YqcLj,2018-06-17,500
INC1766,2018-06-24,100
INC317,2018-09-26,500
INC148,2018-02-28,100
INC548,2018-01-08,20
INC3552,2018-11-04,50
INC336,2018-08-15,250
INC1623,2018-01-26,100
INC2463,2018-09-18,100
INC1188,2018-09-10,500
bmBK4GNApzeK,2019-04-16,50
INC974,2018-02-01,500
INC1264,2018-09-17,500
INC464,2018-02-26,50
INC204,2019-06-24,250
INC1488,2018-10-14,100
INC2668,2018-10-04,150
INC1546,2018-05-26,500
INC1329,2018-05-03,500
INC1317,2018-11-01,100
INC1453,2018-08-10,100
INC3437,2018-10-31,100
5GI8JCJwpAnT,2018-10-26,-500
INC1104,2018-06-27,500
INC262,2018-08-07,250
INC1140,2018-08-28,25
INC1047,2018-09-19,250
INC959,2018-02-25,250
INC1540,2018-09-10,100
V2zdtjgDCpeq,2018-07-31,100
INC275,2018-11-28,100
INC3494,2018-11-02,500
R4Eeq44sRxhV,2018-10-04,500
hUR6LiefLHuK,2018-08-15,150
INC3154,2018-06-27,500
Dh1DXWjkVgnb,2018-09-10,500
INC1898,2018-09-29,500
INC719,2018-04-08,250
INC806,2018-06-30,500
INC1137,2018-02-26,500
INC1123,2018-02-28,25
EXP1581,2018-11-07,-100
AnZveHKHN3dU,2019-06-20,500
INC1304,2018-07-21,400
INC2129,2018-10-31,500
INC300,2018-04-10,500
INC2032,2018-07-11,25
A-84381,2018-10-03,100
Qpa242eO98nl,2018-10-17,150
INC710,2018-04-16,25
INC1696,2018-02-09,100
RpEXZGBGnLqx,2018-11-15,500
gBxkvOEvIRHw,2018-12-21,250
EXP261,2018-01-31,-500
INC91,2018-10-03,500
INC1808,2018-06-26,500
jwtsqUokewkW,2018-10-21,500
INC1577,2018-06-02,25
CE6eSAkpc6yL,2018-07-18,500
xIEfonMeBUm1,2018-08-23,500
INC832,2018-08-07,100
INC316,2018-07-30,500
INC939,2018-06-25,250
RQN3CBwewO1T,2018-11-03,100
INC1228,2018-06-21,20000
AwCcyzBfv8LM,2019-06-30,500
INC987,2018-01-26,100
INC373,2018-12-20,500
INC703,2018-03-14,150
uV71WbPIWwFi,2019-06-12,250
VdjJZX5E2nej,2018-08-24,400
A-84372,2018-09-28,100
A-84429,2018-10-23,100
EXP840,2018-07-01,-500
INC977,2018-06-29,500
INC1904,2019-06-27,250
INC328,2018-02-23,500
INC667,2018-06-30,500
INC342,2018-08-18,500
iHFv6d3smMbE,2019-05-17,50
HfPPAHpTH69u,2018-10-16,100
INC1058,2018-04-15,118
INC93,2019-06-18,500
INC1576,2018-10-24,100
INC2606,2018-10-03,250
IDT73,2018-09-01,100
INC316,2018-11-30,500
INC711,2018-03-01,500
INC740,2019-03-13,500
INC357,2018-05-02,250
INC145,2019-06-28,150
INC1255,2018-04-29,500
PfX77SuIXfSZ,2019-02-01,200
INC114,2018-10-01,500
INC1545,2018-11-03,500
INC1013,2018-09-15,500
INC2273,2018-08-15,75
INC935,2018-03-16,100
INC596,2018-07-03,500
IDT199,2018-09-28,100
INC1698,2018-02-07,250
INC3226,2018-10-26,100
INC1126,2018-02-27,100
u3K28RJLykx5,2018-06-24,500
INC1322,2018-03-31,500
INC870,2018-02-08,500
INC488,2018-09-20,500
SuOhsKfvNy1O,2018-06-29,500
INC1253,2018-07-07,250
INC873,2018-05-31,100
xhPLjlZgI91x,2018-12-26,500
INC1422,2018-10-12,500
zMVEOYDTUjHW,2019-06-28,500
VN925HFVC96,2018-06-25,200
INC1092,2018-02-22,25
INC1033,2019-05-08,100
INC569,2018-09-29,250
INC1684,2018-07-21,18
VN925GPR4R9,2018-01-31,100
im9IT7bjViri,2018-08-25,100
INC1136,2018-04-20,100
INC1401,2018-07-30,100
INC1566,2018-09-14,500
9yXM45ygwCTM,2018-10-20,250
bzcx1NwWr1ky,2018-10-28,200
INC1892,2019-06-20,500
INC3114,2018-10-23,250
EXP130,2018-09-19,-500
INC1182,2018-09-17,250
INC362,2018-08-23,100
INC1433,2018-04-26,100
INC77,2018-02-26,100
INC695,2018-10-11,500
rjdWy8SyVw9k,2018-06-29,100
S1k5zTIAH95j,2018-10-18,500
INC1236,2018-10-16,500
INC578,2018-09-26,200
INC670,2018-06-30,500
INC1526,2018-09-04,500
INC802,2018-03-11,500
INC3609,2018-11-05,75
INC399,2018-10-23,100
TRhzH4Jj1yQj,2019-06-29,500
INC415,2018-12-28,100
INC920,2018-08-29,500
INC1809,2018-06-26,500
INC86,2018-07-16,100
INC1899,2018-09-26,500
INC1802,2018-10-23,250
INC1057,2018-04-17,100
INC845,2018-01-23,500
INC828,2018-05-16,500
INC340,2018-05-01,100
INC633,2018-10-11,500
OfLnjG7dm6Ap,2019-01-24,100
INC1811,2018-06-26,500
INC666,2018-06-30,250
INC216,2019-06-10,100
UQBvzO9cZdoS,2018-10-03,250
INC707,2018-01-15,100
INC1805,2018-10-25,83900
INC1137,2018-08-29,100
INC1279,2018-09-24,100
dwAY3nZuqIai,2018-09-04,500
INC1337,2018-10-09,500
8N7FF7isc2eR,2018-09-07,100
INC1225,2018-06-29,100
INC1941,2018-10-17,100
INC750,2018-07-18,100
INC898,2018-03-29,100
INC267,2018-07-24,500
elLP8Ql5mPKj,2018-10-11,50
INC363,2018-05-01,500
INC4093,2018-12-12,250
INC346,2018-05-01,500
INC393,2018-05-08,100
INC190,2019-06-25,500
swDP6EW5DKMI,2018-08-28,500
INC1088,2018-04-11,100
GMjc5eZrUiuJ,2019-06-29,300
INC1840,2018-06-28,100
TM4G4FlTxrzq,2018-10-10,100
INC1373,2018-05-16,100
EXP1891,2019-06-20,-300
INC296,2018-09-20,100
INC1944,2018-11-30,24000
INC237,2018-09-14,250
INC663,2018-07-06,500
