industry_name,employer_name,filer_name,total_donations,total_donation_amount,total_donors
FOOD SERVICE,DANNY COYLE'S,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
PRIVATE LAW,TRN LAW,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (DEVELOPER),LATAM PROPERTIES,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
FOOD SERVICE,BLACK SANDS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
NA,TK DIRECTIONS,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
NA,ADR CONTINENTAL GROUP,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,0,1
PRIVATE LAW,FOX ROTHSCHILD,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
TECH,MEDAL,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
HEALTHCARE (OTHER),GENENTECH,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,LAW OFFICES OF J. WALLACE OMAN,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
TECH,HUSTLE,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,LAW OFFICE OF ANDREW WESTLEY PC,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
MANUFACTURING,BUDGET SIGNS,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (OTHER),COLLIERS INTERNATIONAL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
CONSULTING (BUSINESS),SAI INTERPRETATION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
REAL ESTATE (LANDLORD),WEST COAST PROPERTY MANAGEMENT CO.,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
MANUFACTURING,WOLVERINE WORLDWIDE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
HEALTHCARE (PROVIDER),TPMG BEHAVIORAL HEALTH,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,BEAHM LAW PC,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
PRIVATE LAW,LAW OFFICES OF TIM A. PORI,DEAN PRESTON FOR SUPERVISOR 2019,1,250,1
NON-PROFIT (ADVOCACY),SAN FRANCISCO HOUSING ACTION COALITION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,498,1
NON-PROFIT (COMMUNITY),SAN FRANCISCO STUDY CENTER,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
NON-PROFIT (LAW),THE PUBLIC INTEREST LAW PROJECT,DEAN PRESTON FOR SUPERVISOR 2019,1,250,1
NON-PROFIT (COMMUNITY),HAIGHT-ASHBURY IMPROVEMENT ASSOCIATION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
CANNABIS,CONOR JOHNSTON CONSULTING,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
GOVERNMENT,SAN FRANCISCO IHSS PUBLIC AUTHORITY,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,BRYAN CAVE LEIGHTON PAISNER,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
PRIVATE LAW,BRYAN CAVE LEIGHTON PAISNER,DEAN PRESTON FOR SUPERVISOR 2019,1,200,1
GOVERNMENT,UNITED STATES DEPARTMENT OF JUSTICE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (INVESTMENT),STRADA INVESTMENT GROUP,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
NON-PROFIT (COMMUNITY),COLLECTIVE IMPACT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
HEALTHCARE (PROVIDER),STANFORD FUNCTIONAL GENOMICS FACILITY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (REALTOR),AMERICAN REALTY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
RIDESHARE,UBER,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
BUILDING TRADES,CULLINANE CONSTRUCTION,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
EDUCATION,JOHN F. KENNEDY UNIVERSITY,DEAN PRESTON FOR SUPERVISOR 2019,1,100,1
PRIVATE LAW,LAW OFFICES OF STEPHEN M WILLIAMS,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
EDUCATION,ENGLISH LANGUAGE CENTER,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
NON-PROFIT (OTHER),COMMUNITY PARTNERS/MOVE LA,DEAN PRESTON FOR SUPERVISOR 2019,2,500,1
NON-PROFIT (COMMUNITY),LOWER POLK COMMUNITY BENEFIT DISTRICT,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
GOVERNMENT,MENDOCINO COUNTY PUBLIC DEFENDER,DEAN PRESTON FOR SUPERVISOR 2019,1,250,1
FINANCE,MITSUBISHI UFJ FINANCIAL GROUP,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
HEALTHCARE (OTHER),IQVIA,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
NON-PROFIT (COMMUNITY),JEWISH FILM INSTITUTE,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
FOOD SERVICE,STARBUCKS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
TECH,PATREON,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
CONSULTING (DESIGN/ENGINEERING),DOUGLAS DURKIN DESIGN,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,500,1
NON-PROFIT (COMMUNITY),COMMUNITY CENTER FOR EDUCATION RESULTS,DEAN PRESTON FOR SUPERVISOR 2019,1,250,1
CANNABIS,EMPORIUM SF,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
HEALTHCARE (PROVIDER),HEALTHRIGHT 360,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (REALTOR),BIG TREE PROPERTIES,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (POLITICS),RALLY CAMPAIGNS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
NON-PROFIT (COMMUNITY),GREENBELT ALLIANCE,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,500,1
PRIVATE LAW,CALIFORNIA APPELLATE LAW GROUP,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
TECH,APOLLO.IO,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
EDUCATION,KIPP BAY AREA PUBLIC SCHOOLS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
FITNESS,SOUL CYCLE SF,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (NON-PROFIT),IMPACT AFFORDABLE HOUSING,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
ARCHITECTURE/ENGINEERING,ARCHITECTS LTD,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
REAL ESTATE (REALTOR),BEATITUDES REALTY,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
CONSULTING (POLITICS),MAGGIE MUIR CONSULTING,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
PRIVATE LAW,THE SYNCHRONICS GROUP TRIAL CONSULTANTS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,2,200,1
MEDIA,CBS SPORTS,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
CONSULTING (POLITICS),SPANBERGER FOR CONGRESS,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,100,1
PRIVATE LAW,JONES DAY,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
RETAIL (SMALL BUSINESS),AMOEBA MUSIC,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,250,1
PRIVATE LAW,ORRICK,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
ENTERTAINMENT,METROSOCCERNY,DEAN PRESTON FOR SUPERVISOR 2019,1,500,1
HOSPITALITY,CHIFT HOTEL,VOTE VALLIE BROWN FOR SUPERVISOR 2019,1,500,1
